Customer ID,Product Category,Spend in Category,Prime Member,Purchased Product,Checkout Amount
84920394,A8B44391,0.0,0,0,0.0
84223934,A8B44391,70.0,42,1,156.0
83202384,A8B44391,30.0,15,0,0.0
84342229,A8B44391,45.0,12,1,79.0
8339332,A8B44391,0.0,3,0,0.0
84332232,A8B44391,0.0,0,0,0.0
84432302,A8B44391,68.0,35,1,222.0
84333736,A8B44391,0.0,40,0,0.0
8455432,A8B44391,0.0,32,0,0.0
8333443,A8B44391,0.0,0,1,44.0
84430232,A8B44391,0.0,12,0,0.0
48886763,A8B44391,0.0,6,1,234.0
83556675,A8B44391,57.0,35,1,255.0
84090932,A8B44391,0.0,24,0,0.0
84228325,A8B44391,73.0,41,1,204.0
83434321,A8B44391,0.0,23,0,0.0
84567349,A8B44391,0.0,9,1,15.0
83203948,A8B44391,34.0,22,0,0.0
84422345,A8B44391,63.0,31,1,186.0
83103948,A8B44391,69.0,12,1,322.0
83332554,A8B44391,0.0,0,0,0.0
84567334,A8B44391,22.0,12,0,0.0
83204956,A8B44391,0.0,33,0,0.0
84523342,A8B44391,0.0,0,0,0.0
83234563,A8B44391,0.0,23,1,34.0
8445367,A8B44391,0.0,4,0,0.0
832425673,A8B44391,0.0,12,0,0.0
83466245,A8B44391,36.0,0,1,55.0
84592028,A8B44391,0.0,0,0,0.0
19,A8B44391,52.53140287722647,28,1,81.08572855088948
10,A8B44391,5.0868928618288045,16,0,43.883611007476645
14,A8B44391,3.423773825537844,16,0,19.90430422302934
24,A8B44391,70.09959497041193,58,1,164.0165699324078
22,A8B44391,9.447126805272543,16,0,30.62288300920233
0,A8B44391,4.212098458000786,28,0,15.363475294590511
6,A8B44391,73.2313004091173,51,1,230.75477051403374
13,A8B44391,8.753754620069902,16,0,8.852427101798655
16,A8B44391,9.576837022422273,16,0,42.65844292075261
4,A8B44391,6.954667037501724,16,0,46.57126773311134
20,A8B44391,7.0000731027000285,22,0,252.11655145236568
18,A8B44391,2.375885220025709,16,0,7.055279418522957
25,A8B44391,70.68817800089717,58,1,188.73887301033085
7,A8B44391,6.017534101697402,20,0,40.510391997823255
9,A8B44391,74.55038405495469,28,1,337.4440305144966
5,A8B44391,68.60696494496233,47,1,189.1247238873057
21,A8B44391,77.99586777216905,57,1,250.2632640667451
23,A8B44391,73.20560686264362,51,1,259.04009267985845
26,A8B44391,8.049296959963469,16,0,36.0405489400211
15,A8B44391,6.3284587515444,16,0,20.591858342177936
1,A8B44391,8.120139022229573,16,0,34.97119420073357
2,A8B44391,8.73020517165981,28,0,43.250134695302194
11,A8B44391,37.35543504668336,31,0,20.173945046798814
8,A8B44391,3.1560394015145348,9,0,21.255862969516087
12,A8B44391,3.6845187713342336,28,0,20.55542471471215
17,A8B44391,3.6027710878989527,16,0,23.726547376155423
3,A8B44391,22.9100615353835,28,0,7.111522472452707
14,A8B44391,56.68937685439253,37,1,109.52311089748792
7,A8B44391,0.11271030076644314,2,0,36.582512022723826
23,A8B44391,10.821472872405135,25,0,88.09277404732717
25,A8B44391,7.468437395821573,9,0,19.47189789125532
15,A8B44391,15.940642391289588,25,0,93.43184748481188
16,A8B44391,11.755633821029244,29,0,71.02814887191249
2,A8B44391,1.261881063125354,9,0,13.436939182764453
22,A8B44391,40.58615321867556,40,1,39.939099846485064
24,A8B44391,77.46706728104941,60,0,264.4462623310858
20,A8B44391,9.00012201692158,31,0,273.8900412816309
0,A8B44391,0.9708497373900328,21,0,18.783874003490254
9,A8B44391,3.2795462508443487,18,0,28.713090093350235
13,A8B44391,81.05371189018827,37,1,342.89781561508283
26,A8B44391,76.51271438189035,51,0,179.80696584048644
11,A8B44391,30.95305827663115,24,0,27.4652025964908
18,A8B44391,24.44209782760704,21,0,39.017217444567116
21,A8B44391,76.9106368410541,50,1,252.8516091751061
10,A8B44391,68.89125234019812,40,0,231.01511810573243
6,A8B44391,3.0543059902523604,9,0,22.87095840322329
1,A8B44391,7.237472851996543,18,0,31.673798378311638
5,A8B44391,4.166441718451374,9,0,38.68946996967768
19,A8B44391,78.6716182749067,51,0,158.05546630252198
8,A8B44391,0.8241437304684851,9,0,19.850118301995508
3,A8B44391,8.681458383954437,9,0,8.083617948247348
17,A8B44391,9.89310951615183,25,0,70.718957459045
4,A8B44391,4.533797551834937,9,0,36.35304426071164
12,A8B44391,6.609827748171213,21,0,35.021103864703115
